strain	FULL	RESTRICTED	SYNTH	DROP3	max_ibs	nearest_extra	delta_restricted	delta_synth	is_twin
NIC501	0.003636445193288494	0.003076386534312368	0.0030758941569934382	0.003227625855476916	0.9285138056076035	CX11262	-5.600586589761258e-4	-5.605510362950558e-4	FALSE
NIC523	0.002612545074399109	0.002839345176826747	0.0028413571940053384	0.002072502472627932	0.9257743475498462	NIC260	2.2680010242763808e-4	2.2881211960622955e-4	FALSE
NIC526	0.0023059464087084366	0.00298777888088545	0.0029867185761743792	0.002483457538710011	0.9303390331952153	CX11262	6.818324721770135e-4	0.00068077216746594265	FALSE
NIC527	0.004039653039823962	0.0037525871755241264	0.0037537281072344414	0.0024512002841511915	0.9338520708815574	CX11262	-2.8706586429983524e-4	-2.8592493258952027e-4	FALSE
NIC528	0.006868709476189569	0.006582659803507782	0.006583549474858195	0.00628910404199513	0.9350726615180914	CX11262	-2.8604967268178703e-4	-2.851600013313747e-4	FALSE
PB306	0.0041595585734236	0.0059738784301189675	0.0059744449940888015	0.011114185671812835	0.9575307208921466	CX11262	0.0018143198566953674	0.0018148864206652014	FALSE
PS2025	0.0026767096310559174	0.012276917194995822	0.011782597736385033	NA	0.9842139638802172	ECA348	0.009600207563939905	0.009105888105329116	TRUE
QG2075	0.0010980682766626212	0.0010889709865123636	0.0010888079146817492	0.0015116495804444398	0.9345884669543273	CX11262	-9.097290150257564e-6	-9.26036198087201e-6	FALSE
QG556	0.0024370454574425856	0.0036268311384396457	0.0036201516725595634	0.013988414017817943	0.9585815605130037	ECA348	0.00118978568099706	0.0011831062151169778	FALSE
QW947	0.005833054721695115	0.005779550771587241	0.005780123408735477	0.006751827178600251	0.9259723904014693	CX11262	-5.3503950107874204e-5	-5.2931312959638224e-5	FALSE
QX1211	2.662457548157583e-4	2.7741839393748493e-4	2.7745697210543064e-4	2.8483197174687376e-4	0.7850604556117261	ECA348	1.1172639121726619e-5	1.1211217289672324e-5	FALSE
QX1212	0.001910096371395439	0.002669440639271998	0.0026698068457791076	0.0035664123912734318	0.9486365760088464	CX11262	7.593442678765592e-4	7.597104743836687e-4	FALSE
QX1791	0.0023397321477999153	0.0022741925493456184	0.0022788495325511172	0.0024462388225585207	0.8981607073282322	CX11262	-6.553959845429684e-5	-6.088261524879804e-5	FALSE
QX1792	0.0017136271160113291	0.0021329926068339305	0.00213622892455381	0.0011443359413551638	0.9267039364452198	CX11262	4.193654908226014e-4	4.226018085424807e-4	FALSE
QX1793	0.0017865963487970638	0.002627020223738933	0.00262803264052658	0.001975115721794465	0.9308725363873427	CX11262	8.404238749418693e-4	8.414362917295161e-4	FALSE
QX1794	0.0027953456795705434	0.002707883594058162	0.0027059272514992215	0.0022713512018442154	0.9284483302158425	CX11262	-8.746208551238142e-5	-8.941842807132184e-5	FALSE
WN2001	0.002192960245123928	0.0028542936153659578	0.002856532204013678	0.0017853407024178303	0.9220600336592014	NIC260	6.613333702420298e-4	6.635719588897501e-4	FALSE
XZ1513	0.001768650660713979	0.0017226897179041906	0.0017221636737888798	0.0019286222184057827	0.9295112949092479	CX11262	-4.596094280978841e-5	-4.648698692509925e-5	FALSE
XZ1514	0.0025407481913835056	0.002415018635651649	0.002421198677082551	0.002401822098380943	0.7727438069171114	CX11262	-1.2572955573185657e-4	-1.1954951430095473e-4	FALSE
XZ1515	0.004876003695663305	0.004696527753003647	0.004694099056544359	0.004269532205211332	0.9703250974451664	CX11262	-1.7947594265965792e-4	-1.8190463911894623e-4	FALSE
XZ1516	4.407393099939864e-4	4.929721835126013e-4	4.80473582243534e-4	4.6675892755114625e-4	0.6849275648165961	NIC260	5.22328735186149e-5	3.9734272249547595e-5	FALSE
