strain	nn_pool_ibs	nn_pool	mean_pool_ibs
JU397	0.9694	JU2592	0.9254028431372548
JU4047	0.959805	XZ1515	0.9174046078431373
JU406	0.983945	N2	0.9314585294117647
JU4073	0.98119	GXW1	0.9284313725490196
JU4082	0.996645	MY23	0.8982649019607843
JU4098	0.972945	N2	0.9281446078431372
JU440	0.98374	N2	0.9312081372549019
JU561	0.97712	N2	0.9274879207920792
JU642	0.974565	N2	0.9284978431372549
JU751	0.971015	JU2593	0.9232866666666667
JU774	0.966045	N2	0.9237053465346534
JU775	0.9609	NIC258	0.8949135643564357
JU778	0.960735	LKC34	0.9209458823529412
JU782	0.98112	NIC271	0.9106202970297029
JU792	0.96649	DL200	0.922511274509804
JU830	0.97083	N2	0.9259324509803921
JU847	0.96663	N2	0.9225023529411764
KR314	0.970165	N2	0.9243956435643564
LKC34	0.97382	N2	0.9286389108910891
MY1	0.96696	N2	0.9230858823529412
MY10	0.95011	N2	0.9112737623762376
MY16	0.968025	MY23	0.9074655445544555
MY18	0.97032	MY2741	0.9194662376237623
MY2147	0.97029	N2	0.9234629702970297
MY2212	0.97339	N2	0.9261121568627451
MY23	0.968025	MY16	0.8977006930693069
MY2453	0.96791	N2	0.9216087128712871
MY2530	0.98891	N2	0.9355345098039216
MY2535	0.98224	N2	0.9324758823529412
MY2573	0.977045	NIC3	0.9283869607843137
MY2585	0.96866	N2	0.9232848039215686
MY2693	0.97541	MY2741	0.9255870588235294
MY2713	0.971185	N2	0.9229167647058824
MY2741	0.97032	MY18	0.9176702970297029
MY518	0.973525	N2	0.9273422549019608
MY679	0.97568	N2	0.9284372549019608
MY772	0.973025	MY2147	0.9250171568627451
MY795	0.984645	MY18	0.9236505882352941
MY920	0.98136	ED3017	0.9298326470588235
N2	0.978225	XZ1515	0.939309900990099
NIC1	0.977885	N2	0.9297540196078431
NIC1049	0.978825	N2	0.9290044117647058
NIC1107	0.982845	N2	0.9310679411764706
NIC1119	0.96437	JU2464	0.9227082352941176
NIC166	0.971175	N2	0.925021274509804
NIC1779	0.97261	N2	0.9279306862745098
NIC1780	0.94007	N2	0.9067968627450981
NIC1782	0.939675	NIC527	0.9095359803921569
NIC1783	0.94636	N2	0.9136295098039215
NIC1785	0.94411	N2	0.9104704901960784
NIC1786	0.93831	N2	0.9087135294117648
NIC1787	0.96111	NIC268	0.9055708823529411
NIC1788	0.93573	JU258	0.9071858823529412
NIC1789	0.932365	JU258	0.895461274509804
NIC1790	0.932575	NIC528	0.9020156862745098
NIC1791	0.940035	NIC527	0.9097912745098039
NIC1792	0.93699	NIC527	0.9069153921568628
NIC1794	0.941095	NIC527	0.9096057843137255
NIC1796	0.934945	N2	0.9049719607843137
NIC1798	0.929595	N2	0.9007849019607843
NIC1799	0.9397	N2	0.9099244117647058
NIC1801	0.93318	N2	0.9027591176470589
NIC1802	0.931215	EG4724	0.9043153921568627
NIC1805	0.950355	LKC34	0.9131711764705882
NIC1806	0.948645	NIC268	0.9064639215686274
NIC1808	0.95669	N2	0.9186166666666666
NIC1809	0.959765	N2	0.9189290196078431
NIC1810	0.943665	N2	0.9111199019607843
NIC1811	0.950345	LKC34	0.9140173529411765
NIC1812	0.95138	N2	0.9142004901960784
NIC1832	0.962685	JU2593	0.9217575490196078
NIC195	0.932635	JU561	0.9009094059405941
NIC199	0.93202	JU2007	0.9036269306930693
NIC2	0.994075	N2	0.9369128431372549
NIC207	0.982875	N2	0.9317359803921569
NIC231	0.97714	N2	0.9293106862745099
NIC236	0.971255	LKC34	0.9266591176470588
NIC242	0.977655	N2	0.9298005882352941
NIC251	0.913195	JU2316	0.8748223762376237
NIC252	0.954955	EG4724	0.9131745544554456
NIC255	0.984795	N2	0.9334471568627452
NIC256	0.99471	NIC271	0.9132356435643564
NIC258	0.966605	JU2519	0.8953975247524752
NIC259	0.969465	N2	0.9259818627450981
NIC260	0.9596	NIC256	0.9111649504950495
NIC261	0.969815	NIC271	0.9052148514851485
NIC262	0.981035	NIC271	0.9069432673267327
NIC265	0.96296	JU2316	0.8912457425742574
NIC266	0.95162	EG4725	0.9152939603960396
NIC267	0.972135	N2	0.9263728431372549
NIC268	0.946545	N2	0.9091451485148515
NIC269	0.958235	CX11271	0.9207869607843138
NIC271	0.99471	NIC256	0.9122446534653466
NIC272	0.96597	LKC34	0.9222512745098039
NIC274	0.96641	ED3052	0.9215133333333333
NIC275	0.969245	ED3052	0.9227771568627451
NIC276	0.9747	N2	0.9281246078431372
NIC277	0.977375	N2	0.9302941176470588
NIC3	0.97156	N2	0.924909405940594
NIC501	0.962095	JU1793	0.9157171287128713
NIC511	0.97262	N2	0.926479705882353
NIC513	0.97067	LKC34	0.9239485294117648
NIC514	0.970215	LKC34	0.9267366666666667
NIC515	0.961335	ED3017	0.9259010784313726
NIC522	0.976265	N2	0.9289857843137255
NIC523	0.95793	N2	0.9157184158415842
NIC526	0.96701	NIC527	0.9217032673267327
NIC527	0.96701	NIC526	0.9221679207920792
NIC528	0.967595	N2	0.9231780198019802
NIC529	0.97829	N2	0.9303021568627451
PB303	0.9787	N2	0.9277031372549019
PB306	0.968465	XZ1515	0.9185597058823529
PS2025	0.984675	ECA348	0.911160099009901
PX179	0.98793	N2	0.9347079411764706
QG2075	0.953035	JU2007	0.9165188118811881
QG2811	0.975615	N2	0.9255372549019608
QG2813	0.974865	N2	0.9268767647058823
