species,species_id_method,strain,isotype,previous_names,release,source_lab,latitude,longitude,landscape,locality_description,substrate,substrate_comments,substrate_temp,ambient_temp,ambient_humidity,associated_organism,sampled_by,isolated_by,sampling_date,notes,strain_set,issues,issue_notes,isotype_ref_strain,sequenced
Caenorhabditis elegans,,JU3399,JU1793,,20200815,JU,49.1205,1.9512,Forest,Ile-de-France,Rotting_stem,rotting stem,,,,,"S. Marsh, M.-A. Felix",M.-A. Felix,2013-11-20,,,False,,False,True
Caenorhabditis elegans,,JU3400,JU1793,,20200815,JU,49.1212,1.9508,Forest,Ile-de-France,Rotting_stem,rotting Heracleum sphondylium stem,,,,,"S. Marsh, M.-A. Felix",M.-A. Felix,2013-11-20,,,False,,False,True
Caenorhabditis elegans,,JU3401,JU1793,,20200815,JU,49.12161,1.95105,Forest,Ile-de-France,Rotting_stem,rotting Tussilago stem,,,,,"R. Luallen, P. Phillips, M.-A. Felix",M.-A. Felix,2014-09-30,,,False,,False,True
Caenorhabditis elegans,,JU3402,JU1793,,20200815,JU,49.12165,1.95101,Forest,Ile-de-France,Rotting_stem,rotting stem (Asteraceae),,,,,"R. Luallen, P. Phillips, M.-A. Felix",M.-A. Felix,2014-09-30,,,False,,False,True
Caenorhabditis elegans,,JU3403,JU1793,,20200815,JU,49.12167,1.95101,Forest,,Rotting_stem,rotting Symphytum stem,,,,,"R. Luallen, P. Phillips, M.-A. Felix",M.-A. Felix,2014-09-30,,,False,,False,True
Caenorhabditis elegans,,JU342,JU323,D4.1,20160408,JU,44.42,4.4,Rural_garden,Rhone-Alpes,Mollusk,"live mollusks, snail",,,,,M.-A. Felix,M.-A. Felix,2002-09-08,"Merlet, Lagorce (Ardèche), France. 8 Sep 02. Wash from the snail tube (mulberry tree).",,False,,False,False
Caenorhabditis elegans,,JU345,JU346,G1.3,20170531,JU,44.42,4.4,Rural_garden,Rhone-Alpes,Arthropod,"live arthropod, Glomeris",,,,,M.-A. Felix,M.-A. Felix,2002-09-08,"Merlet, Lagorce (Ardche), France. 8 Sep 02. From a Glomeris myriapod in the compost pile (same myriapod as JU343, JU344, JU346).",,False,,False,True
Caenorhabditis elegans,,JU346,JU346,G1.5,20160408,JU,44.42,4.4,Rural_garden,Languedoc-Roussillon,Arthropod,"live arthropod, Glomeris",,,,,M.-A. Felix,M.-A. Felix,2002-09-08,"Merlet, Lagorce (Ardèche), France. 8 Sep 02. From a Glomeris myriapod in the compost pile (same myriapod as JU342, JU343, JU344).",1,False,,True,True
Caenorhabditis elegans,,JU347,JU323,C1.1,20160408,JU,44.42,4.4,Rural_garden,Auvergne-Rhone-Alpes,Mollusk,"live mollusks, snail",,,,,M.-A. Felix,M.-A. Felix,2002-09-08,"Merlet, Lagorce (Ardèche), France. 8 Sep 02. From a Pomatias elegans (?) snail, under the mulberry tree.",,False,,False,False
Caenorhabditis elegans,,JU360,JU360,PB1.2,20160408,JU,48.98,2.23,Urban_garden,Ile-de-France,Compost,compost heap,,,,,C. Pieau,M.-A. Felix,2002-09-16,"Franconville (Val d’Oise), France. Compost heap in Claude Pieau’s garden, 16 Sept 02.",1,False,,True,True
Caenorhabditis elegans,,JU361,JU367,PB2.X,20160408,JU,48.98,2.23,Urban_garden,Ile-de-France,Compost,compost heap,,,,,C. Pieau,M.-A. Felix,2002-09-16,"Franconville (Val d’Oise), France. Compost heap in Claude Pieau’s garden, 16 Sept 02.",,False,,False,False
Caenorhabditis elegans,,JU362,JU360,PB2.1,20160408,JU,48.98,2.23,Urban_garden,Ile-de-France,Compost,compost heap,,,,,C. Pieau,M.-A. Felix,2002-09-16,"Franconville (Val d’Oise), France. Compost heap in Claude Pieau’s garden, 16 Sept 02.",,False,,False,False
Caenorhabditis elegans,,JU363,JU360,PB1.1,20160408,CGC,48.98,2.23,Urban_garden,Ile-de-France,Compost,compost heap,,,,,C. Pieau,M.-A. Felix,2002-09-16,"Franconville (Val d’Oise), France. Compost heap in Claude Pieau’s garden, 16 Sept 02.",,False,,False,True
Caenorhabditis elegans,,JU364,JU360,PB2.3,20160408,JU,48.98,2.23,Urban_garden,Ile-de-France,Compost,compost heap,,,,,C. Pieau,M.-A. Felix,2002-09-16,"Franconville (Val d’Oise), France. Compost heap in Claude Pieau’s garden, 16 Sept 02.",,False,,False,False
Caenorhabditis elegans,,JU366,JU360,PB4.1,20160408,JU,48.98,2.23,Urban_garden,Ile-de-France,Compost,compost heap,,,,,C. Pieau,M.-A. Felix,2002-09-16,"Franconville (Val d’Oise), France. Compost heap in Claude Pieau’s garden, 16 Sept 02.",,False,,False,False
