sample,sample_info,time,rnai,replicate,depth_cutoff,strain,frq,t0_frq,ctrl_frq,delta_t0,delta_ctrl,log2fc_t0,log2fc_ctrl
A12,T2_pos-1_3,T2,pos-1,3,10,JU2838,0.000519657873896928,0,0,0.000519657873896928,0.000519657873896928,64.1836724323765,64.1836724323765
A13,T2_pos-1_4,T2,pos-1,4,10,JU2838,0.00115299782622512,0,0,0.00115299782622512,0.00115299782622512,65.3334282087397,65.3334282087397
A6,T2_ctrl_A,T2,ctrl,A,10,JU2838,0,0,0,0,0,0,0
A7,T2_ctrl_B,T2,ctrl,B,10,JU2838,0,0,0,0,0,0,0
A10,T2_pos-1_1,T2,pos-1,1,3,JU2841,0,0.00674695713294518,0.00955079327391729,-0.00674695713294518,-0.00955079327391729,-67.8822754113425,-68.3836589818091
A11,T2_pos-1_2,T2,pos-1,2,3,JU2841,0.000198072657172607,0.00674695713294518,0.00955079327391729,-0.00654888447577257,-0.00935272061674469,-5.09013535257896,-5.59151892304558
A12,T2_pos-1_3,T2,pos-1,3,3,JU2841,0,0.00674695713294518,0.00955079327391729,-0.00674695713294518,-0.00955079327391729,-67.8822754113425,-68.3836589818091
A13,T2_pos-1_4,T2,pos-1,4,3,JU2841,0.00026449981895129,0.00674695713294518,0.00955079327391729,-0.00648245731399389,-0.009286293454966,-4.67289835571165,-5.17428192617828
A6,T2_ctrl_A,T2,ctrl,A,3,JU2841,0.00999919952639402,0.00674695713294518,0.00955079327391729,0.00325224239344884,0.000448406252476725,0.567575610687958,0.0661920402213332
A7,T2_ctrl_B,T2,ctrl,B,3,JU2841,0.00910238702144057,0.00674695713294518,0.00955079327391729,0.00235542988849539,-0.000448406252476724,0.432007933445697,-0.0693756370209276
A10,T2_pos-1_1,T2,pos-1,1,5,JU2841,0,0.00669329311128061,0.00962075834091388,-0.00669329311128061,-0.00962075834091388,-67.8707546095792,-68.3941890323059
A11,T2_pos-1_2,T2,pos-1,2,5,JU2841,0.00054405432210831,0.00669329311128061,0.00962075834091388,-0.0061492387891723,-0.00907670401880557,-3.62089358155341,-4.14432800428008
A12,T2_pos-1_3,T2,pos-1,3,5,JU2841,0,0.00669329311128061,0.00962075834091388,-0.00669329311128061,-0.00962075834091388,-67.8707546095792,-68.3941890323059
A13,T2_pos-1_4,T2,pos-1,4,5,JU2841,0.000332274537527891,0.00669329311128061,0.00962075834091388,-0.00636101857375272,-0.00928848380338599,-4.33226854641725,-4.85570296914392
A6,T2_ctrl_A,T2,ctrl,A,5,JU2841,0.0100428201726413,0.00669329311128061,0.00962075834091388,0.00334952706136064,0.000422061831727372,0.585376357320516,0.0619419345938461
A7,T2_ctrl_B,T2,ctrl,B,5,JU2841,0.00919869650918651,0.00669329311128061,0.00962075834091388,0.0025054033979059,-0.000422061831727372,0.458713246311457,-0.0647211764152131
A10,T2_pos-1_1,T2,pos-1,1,10,JU2841,0,0.00682503053729641,0.00839944742746379,-0.00682503053729641,-0.00839944742746379,-67.8988739168061,-68.1983328364585
A11,T2_pos-1_2,T2,pos-1,2,10,JU2841,0.000507992655049694,0.00682503053729641,0.00839944742746379,-0.00631703788224672,-0.0078914547724141,-3.74795595844923,-4.0474148781016
A12,T2_pos-1_3,T2,pos-1,3,10,JU2841,0,0.00682503053729641,0.00839944742746379,-0.00682503053729641,-0.00839944742746379,-67.8988739168061,-68.1983328364585
A13,T2_pos-1_4,T2,pos-1,4,10,JU2841,0,0.00682503053729641,0.00839944742746379,-0.00682503053729641,-0.00839944742746379,-67.8988739168061,-68.1983328364585
A6,T2_ctrl_A,T2,ctrl,A,10,JU2841,0.00896175323615767,0.00682503053729641,0.00839944742746379,0.00213672269886126,0.000562305808693871,0.392945501002207,0.0934865813498422
A7,T2_ctrl_B,T2,ctrl,B,10,JU2841,0.00783714161876992,0.00682503053729641,0.00839944742746379,0.00101211108147351,-0.000562305808693871,0.199492065940386,-0.0999668537119789
A10,T2_pos-1_1,T2,pos-1,1,3,JU2853,0.00107164017388074,0.00341939066683333,0.00452041827378763,-0.00234775049295259,-0.00344877809990689,-1.67391868933464,-2.07663569985125
A11,T2_pos-1_2,T2,pos-1,2,3,JU2853,0.00459879331236169,0.00341939066683333,0.00452041827378763,0.00117940264552835,7.83750385740549e-05,0.427516098146774,0.0247990876301562
A12,T2_pos-1_3,T2,pos-1,3,3,JU2853,0.00178456982167677,0.00341939066683333,0.00452041827378763,-0.00163482084515656,-0.00273584845211086,-0.938162912464051,-1.34087992298067
A13,T2_pos-1_4,T2,pos-1,4,3,JU2853,0,0.00341939066683333,0.00452041827378763,-0.00341939066683333,-0.00452041827378763,-66.9017776764035,-67.3044946869201
A6,T2_ctrl_A,T2,ctrl,A,3,JU2853,0.0038659574590986,0.00341939066683333,0.00452041827378763,0.000446566792265269,-0.000654460814689031,0.177086501547584,-0.225630508969034
A7,T2_ctrl_B,T2,ctrl,B,3,JU2853,0.00517487908847666,0.00341939066683333,0.00452041827378763,0.00175548842164333,0.000654460814689031,0.597785893596203,0.195068883079586
A10,T2_pos-1_1,T2,pos-1,1,5,JU2853,0.00197573983150539,0.00373632059924439,0.00456084530939749,-0.001760580767739,-0.0025851054778921,-0.919225269347698,-1.20690825590505
A11,T2_pos-1_2,T2,pos-1,2,5,JU2853,0.00446190787094835,0.00373632059924439,0.00456084530939749,0.000725587271703956,-9.89374384491393e-05,0.256042472808812,-0.0316405137485386
A12,T2_pos-1_3,T2,pos-1,3,5,JU2853,0.00187675738100434,0.00373632059924439,0.00456084530939749,-0.00185956321824005,-0.00268408792839315,-0.993376095539512,-1.28105908209686
A13,T2_pos-1_4,T2,pos-1,4,5,JU2853,0,0.00373632059924439,0.00456084530939749,-0.00373632059924439,-0.00456084530939749,-67.0296566681456,-67.317339654703
A6,T2_ctrl_A,T2,ctrl,A,5,JU2853,0.00376158184402577,0.00373632059924439,0.00456084530939749,2.52612447813796e-05,-0.000799263465371715,0.00972122823445763,-0.277961758322893
A7,T2_ctrl_B,T2,ctrl,B,5,JU2853,0.0053601087747692,0.00373632059924439,0.00456084530939749,0.00162378817552481,0.000799263465371715,0.520644025700879,0.232961039143528
A10,T2_pos-1_1,T2,pos-1,1,10,JU2853,0,0.00460663176924026,0.00508030349820732,-0.00460663176924026,-0.00508030349820732,-67.3317506965283,-67.4729531021181
A11,T2_pos-1_2,T2,pos-1,2,10,JU2853,0.00195150394957705,0.00460663176924026,0.00508030349820732,-0.00265512781966321,-0.00312879954863027,-1.23912589823551,-1.38032830382532
A12,T2_pos-1_3,T2,pos-1,3,10,JU2853,0,0.00460663176924026,0.00508030349820732,-0.00460663176924026,-0.00508030349820732,-67.3317506965283,-67.4729531021181
A13,T2_pos-1_4,T2,pos-1,4,10,JU2853,0,0.00460663176924026,0.00508030349820732,-0.00460663176924026,-0.00508030349820732,-67.3317506965283,-67.4729531021181
A6,T2_ctrl_A,T2,ctrl,A,10,JU2853,0.0054319747595675,0.00460663176924026,0.00508030349820732,0.000825342990327243,0.000351671261360182,0.237764495080646,0.0965620894908336
A7,T2_ctrl_B,T2,ctrl,B,10,JU2853,0.00472863223684713,0.00460663176924026,0.00508030349820732,0.000122000467606878,-0.000351671261360182,0.037710661616703,-0.103491743973109
A10,T2_pos-1_1,T2,pos-1,1,3,JU2862,0,0.000667887548815709,0,-0.000667887548815709,0,-64.5457155396414,0
A11,T2_pos-1_2,T2,pos-1,2,3,JU2862,0,0.000667887548815709,0,-0.000667887548815709,0,-64.5457155396414,0
A12,T2_pos-1_3,T2,pos-1,3,3,JU2862,0,0.000667887548815709,0,-0.000667887548815709,0,-64.5457155396414,0
A13,T2_pos-1_4,T2,pos-1,4,3,JU2862,0,0.000667887548815709,0,-0.000667887548815709,0,-64.5457155396414,0
A6,T2_ctrl_A,T2,ctrl,A,3,JU2862,0,0.000667887548815709,0,-0.000667887548815709,0,-64.5457155396414,0
A7,T2_ctrl_B,T2,ctrl,B,3,JU2862,0,0.000667887548815709,0,-0.000667887548815709,0,-64.5457155396414,0
A10,T2_pos-1_1,T2,pos-1,1,5,JU2862,0,0.00113648395024173,0,-0.00113648395024173,0,-65.3126157258345,0
A11,T2_pos-1_2,T2,pos-1,2,5,JU2862,0,0.00113648395024173,0,-0.00113648395024173,0,-65.3126157258345,0
A12,T2_pos-1_3,T2,pos-1,3,5,JU2862,0,0.00113648395024173,0,-0.00113648395024173,0,-65.3126157258345,0
A13,T2_pos-1_4,T2,pos-1,4,5,JU2862,0,0.00113648395024173,0,-0.00113648395024173,0,-65.3126157258345,0
A6,T2_ctrl_A,T2,ctrl,A,5,JU2862,0,0.00113648395024173,0,-0.00113648395024173,0,-65.3126157258345,0
A7,T2_ctrl_B,T2,ctrl,B,5,JU2862,0,0.00113648395024173,0,-0.00113648395024173,0,-65.3126157258345,0
A10,T2_pos-1_1,T2,pos-1,1,10,JU2862,0,0.00106914857689395,0,-0.00106914857689395,0,-65.2245007703943,0
A11,T2_pos-1_2,T2,pos-1,2,10,JU2862,0,0.00106914857689395,0,-0.00106914857689395,0,-65.2245007703943,0
A12,T2_pos-1_3,T2,pos-1,3,10,JU2862,0,0.00106914857689395,0,-0.00106914857689395,0,-65.2245007703943,0
A13,T2_pos-1_4,T2,pos-1,4,10,JU2862,0,0.00106914857689395,0,-0.00106914857689395,0,-65.2245007703943,0
A6,T2_ctrl_A,T2,ctrl,A,10,JU2862,0,0.00106914857689395,0,-0.00106914857689395,0,-65.2245007703943,0
A7,T2_ctrl_B,T2,ctrl,B,10,JU2862,0,0.00106914857689395,0,-0.00106914857689395,0,-65.2245007703943,0
A10,T2_pos-1_1,T2,pos-1,1,3,JU2866,0.00034631466963321,0,0.00167342839925886,0.00034631466963321,-0.00132711372962565,63.5981938211324,-2.2726514185222
