strain,delta_ctrl_pos-1_T2,vst_ctrl_pos-1_T2,log2fc_ctrl_pos-1_T2,negctrl_growth_HT115_delta_t0,negctrl_abundance_log10
"JU2811",-0.000976469231841933,-0.0312535954441593,-65.0936849068881,-0.00209079416008393,-3.01034143660735
"JU2825",NA,NA,NA,0,NA
"JU2838",NA,NA,NA,0,NA
"JU2841",-0.00940167612600483,-0.0834414587729509,-5.45660634037794,0.00292746522963327,-2.01679069404389
"JU2853",-0.00248224403853297,-0.021977982653131,-1.13368820025133,0.000824524710153095,-2.34095465751446
"JU2862",NA,NA,NA,-0.00113648395024173,NA
"JU2866",-0.00138276511590325,-0.0329205503446618,-6.08227490482044,0.00140347886390433,-2.85279412336359
"JU2878",-7.67581371035494e-05,-0.00193950449614401,-0.282923590478099,-0.00336312091681456,-3.36548165425824
"JU2906",0.000931289114417247,0.00662070954188783,0.270464905289946,0.00168809598327783,-2.34519667671235
"JU2907",-0.00198277092909745,-0.0445430440903478,-66.1155564273296,-0.000574418651391501,-2.70272745723971
"JU310",NA,NA,NA,0,NA
"JU311",NA,NA,NA,0,NA
"JU3125",-0.00399488020092163,-0.0357685863486941,-1.90885911093399,0.00527511714774078,-2.26401295005605
"JU3127",NA,NA,NA,0,NA
"JU3128",NA,NA,NA,0,NA
"JU3132",0.0426485901100979,0.147580606303624,3.16072859400879,-0.00401110760400837,-2.27006962037723
"JU3134",-0.00166757751178134,-0.040847341104583,-65.8657922375334,-0.000311495999555189,-2.77791397021108
"JU3135",-0.00044608147191278,-0.0211222114670231,-63.9634175475239,0.00044608147191278,-3.3505858148959
"JU3137",NA,NA,NA,0,NA
"JU3140",-0.00029877157604094,-0.0106324145801781,-2.29718913622907,0.000375086306285181,-3.42586879085685
"JU3141",-0.0104089467555944,-0.102202074296014,-68.5077906054109,0.000823096625444426,-1.98259321298466
"JU3144",-0.00137745768998127,-0.0277396231149052,-3.63723024938387,0.00149783618575418,-2.82453568163873
"JU3166",-0.00215615833403792,-0.0188392709803304,-0.955394039701676,0.00274010921759424,-2.3514331754515
"JU3167",0.00861005457377223,0.0503384033567623,1.73601005369295,-0.00262979913709057,-2.43255989941532
"JU3169",0.000241875024585106,0.0137652516955065,6.08179306643489,3.62450348092657e-06,-5.44075147882071
"JU3224",-0.000576201093673643,-0.0205832662660796,-5.42316027747451,0.000294644523254641,-3.22918448104952
"JU3225",NA,NA,NA,0,NA
"JU3226",-8.05612965761372e-06,-0.002838336007496,-58.1723410337043,8.05612965761372e-06,-5.0938735527408
"JU3228",NA,NA,NA,-0.00304610512582668,NA
"JU323",NA,NA,NA,0,NA
"JU3280",-0.0036874057786116,-0.0607613942696391,-67.0106446014733,-0.00415111087453698,-2.43327906805835
"JU3282",NA,NA,NA,0,NA
"JU3291",0.128425299622149,0.260681328780466,3.10233689975392,0.00301726001448715,-1.77148174581923
"JU346",NA,NA,NA,0,NA
"JU360",NA,NA,NA,0,NA
"JU367",NA,NA,NA,0,NA
"JU393",-0.00243407322872521,-0.049356364338055,-66.4114109876624,0.00148036956160571,-2.61366636022556
"JU394",-0.00116189232546462,-0.011902500566449,-0.705435492754128,0.00300430351512352,-2.52225619407643
"JU397",-0.0655343328332037,-0.126808205371745,-1.33508193450513,0.00560049115687128,-0.964302252174865
